q_id,q_tag,question,options,advice,diagnosis,lab_tests,red_flags,precautions,otc_medication
118,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
119,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
121,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 42, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 42, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 42, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 42, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 42, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 42, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
42,NEW,Does the adult have a persistent cough lasting more than 3 weeks?,"[{'next_q_id': 43, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 44, 'opt_value': 'No', 'option_id': 2}]",,,,,,
43,NEW,Is the cough accompanied by blood in the mucus?,"[{'next_q_id': 123, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 44, 'opt_value': 'No', 'option_id': 2}]",,,,,,
44,NEW,Does the adult have a fever along with the cough?,"[{'next_q_id': 124, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 45, 'opt_value': 'No', 'option_id': 2}]",,,,,,
45,NEW,Is the cough worse after lying down?,"[{'next_q_id': 125, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 46, 'opt_value': 'No', 'option_id': 2}]",,,,,,
46,NEW,Does the adult have a history of smoking?,"[{'next_q_id': 123, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 47, 'opt_value': 'No', 'option_id': 2}]",,,,,,
47,NEW,Does the adult experience shortness of breath with the cough?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 48, 'opt_value': 'No', 'option_id': 2}]",,,,,,
48,NEW,Is the cough triggered by cold air or exercise?,"[{'next_q_id': 126, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 49, 'opt_value': 'No', 'option_id': 2}]",,,,,,
49,NEW,Does the adult have a history of asthma or chronic bronchitis?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 50, 'opt_value': 'No', 'option_id': 2}]",,,,,,
50,NEW,Has the adult been exposed to allergens recently?,"[{'next_q_id': 126, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 51, 'opt_value': 'No', 'option_id': 2}]",,,,,,
51,NEW,Does the male adult have a hoarse voice with the cough?,"[{'next_q_id': 125, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 52, 'opt_value': 'No', 'option_id': 2}]",,,,,,
52,NEW,Does the male adult experience wheezing while coughing?,"[{'next_q_id': 127, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 53, 'opt_value': 'No', 'option_id': 2}]",,,,,,
53,NEW,Does the male adult have a family history of respiratory illnesses?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 126, 'opt_value': 'No', 'option_id': 2}]",,,,,,
122,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
123,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
124,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
125,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
126,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
127,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 42, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 42, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 42, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 42, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 42, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 42, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
42,NEW,Does the adult have a persistent cough lasting more than 3 weeks?,"[{'next_q_id': 43, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 123, 'opt_value': 'No', 'option_id': 2}]",,,,,,
43,NEW,Is the cough accompanied by blood in the mucus?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 44, 'opt_value': 'No', 'option_id': 2}]",,,,,,
44,NEW,Does the adult have a fever along with the cough?,"[{'next_q_id': 124, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 45, 'opt_value': 'No', 'option_id': 2}]",,,,,,
45,NEW,Is the cough worse after lying down?,"[{'next_q_id': 125, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 46, 'opt_value': 'No', 'option_id': 2}]",,,,,,
46,NEW,Does the adult have a history of smoking?,"[{'next_q_id': 123, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 47, 'opt_value': 'No', 'option_id': 2}]",,,,,,
47,NEW,Does the adult experience shortness of breath with the cough?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 48, 'opt_value': 'No', 'option_id': 2}]",,,,,,
48,NEW,Is the cough triggered by cold air or exercise?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 49, 'opt_value': 'No', 'option_id': 2}]",,,,,,
49,NEW,Does the adult have a history of asthma or chronic bronchitis?,"[{'next_q_id': 122, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 50, 'opt_value': 'No', 'option_id': 2}]",,,,,,
50,NEW,Has the adult been exposed to allergens recently?,"[{'next_q_id': 126, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 123, 'opt_value': 'No', 'option_id': 2}]",,,,,,
54,NEW,Does the female adult have a persistent dry cough?,"[{'next_q_id': 55, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 123, 'opt_value': 'No', 'option_id': 2}]",,,,,,
55,NEW,Does the female adult experience fatigue along with the cough?,"[{'next_q_id': 124, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 56, 'opt_value': 'No', 'option_id': 2}]",,,,,,
56,NEW,Does the female adult have a history of allergies?,"[{'next_q_id': 128, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 123, 'opt_value': 'No', 'option_id': 2}]",,,,,,
122,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
123,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
124,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
125,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
126,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
128,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 57, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}]",,,,,,
57,NEW,Does the middle-aged adult have a persistent cough lasting more than 3 weeks?,"[{'next_q_id': 58, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 130, 'opt_value': 'No', 'option_id': 2}]",,,,,,
58,NEW,Is the cough accompanied by blood in the mucus?,"[{'next_q_id': 131, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 59, 'opt_value': 'No', 'option_id': 2}]",,,,,,
59,NEW,Does the middle-aged adult have a fever along with the cough?,"[{'next_q_id': 131, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 60, 'opt_value': 'No', 'option_id': 2}]",,,,,,
60,NEW,Is the cough worse after lying down?,"[{'next_q_id': 132, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 61, 'opt_value': 'No', 'option_id': 2}]",,,,,,
61,NEW,Does the middle-aged adult have a history of smoking?,"[{'next_q_id': 130, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 62, 'opt_value': 'No', 'option_id': 2}]",,,,,,
62,NEW,Does the middle-aged adult experience shortness of breath with the cough?,"[{'next_q_id': 129, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 63, 'opt_value': 'No', 'option_id': 2}]",,,,,,
63,NEW,Is the cough triggered by cold air or exercise?,"[{'next_q_id': 129, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 64, 'opt_value': 'No', 'option_id': 2}]",,,,,,
64,NEW,Does the middle-aged adult have a history of asthma or chronic bronchitis?,"[{'next_q_id': 129, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 65, 'opt_value': 'No', 'option_id': 2}]",,,,,,
65,NEW,Has the middle-aged adult been exposed to allergens recently?,"[{'next_q_id': 133, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 66, 'opt_value': 'No', 'option_id': 2}]",,,,,,
66,NEW,Does the male middle-aged adult have a hoarse voice with the cough?,"[{'next_q_id': 132, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 67, 'opt_value': 'No', 'option_id': 2}]",,,,,,
67,NEW,Does the male middle-aged adult experience wheezing while coughing?,"[{'next_q_id': 134, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 68, 'opt_value': 'No', 'option_id': 2}]",,,,,,
68,NEW,Does the male middle-aged adult have a family history of respiratory illnesses?,"[{'next_q_id': 134, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 130, 'opt_value': 'No', 'option_id': 2}]",,,,,,
129,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
130,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
131,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
132,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
133,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
134,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 57, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}]",,,,,,
57,NEW,Does the middle-aged adult have a persistent cough lasting more than 3 weeks?,"[{'next_q_id': 58, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 130, 'opt_value': 'No', 'option_id': 2}]",,,,,,
58,NEW,Is the cough accompanied by blood in the mucus?,"[{'next_q_id': 130, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 59, 'opt_value': 'No', 'option_id': 2}]",,,,,,
59,NEW,Does the middle-aged adult have a fever along with the cough?,"[{'next_q_id': 131, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 60, 'opt_value': 'No', 'option_id': 2}]",,,,,,
60,NEW,Is the cough worse after lying down?,"[{'next_q_id': 132, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 61, 'opt_value': 'No', 'option_id': 2}]",,,,,,
61,NEW,Does the middle-aged adult have a history of smoking?,"[{'next_q_id': 130, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 62, 'opt_value': 'No', 'option_id': 2}]",,,,,,
62,NEW,Does the middle-aged adult experience shortness of breath with the cough?,"[{'next_q_id': 129, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 63, 'opt_value': 'No', 'option_id': 2}]",,,,,,
63,NEW,Is the cough triggered by cold air or exercise?,"[{'next_q_id': 129, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 64, 'opt_value': 'No', 'option_id': 2}]",,,,,,
64,NEW,Does the middle-aged adult have a history of asthma or chronic bronchitis?,"[{'next_q_id': 129, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 65, 'opt_value': 'No', 'option_id': 2}]",,,,,,
65,NEW,Has the middle-aged adult been exposed to allergens recently?,"[{'next_q_id': 133, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 130, 'opt_value': 'No', 'option_id': 2}]",,,,,,
129,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
130,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
131,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
132,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
133,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 72, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 72, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 72, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 72, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 72, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 72, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
72,NEW,Does the elderly adult have a persistent cough lasting more than 3 weeks?,"[{'next_q_id': 73, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 136, 'opt_value': 'No', 'option_id': 2}]",,,,,,
73,NEW,Is the cough accompanied by blood in the mucus?,"[{'next_q_id': 137, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 74, 'opt_value': 'No', 'option_id': 2}]",,,,,,
74,NEW,Does the elderly adult have a fever along with the cough?,"[{'next_q_id': 138, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 75, 'opt_value': 'No', 'option_id': 2}]",,,,,,
75,NEW,Is the cough worse after lying down?,"[{'next_q_id': 139, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 76, 'opt_value': 'No', 'option_id': 2}]",,,,,,
76,NEW,Does the elderly adult have a history of smoking?,"[{'next_q_id': 137, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 77, 'opt_value': 'No', 'option_id': 2}]",,,,,,
77,NEW,Does the elderly adult experience shortness of breath with the cough?,"[{'next_q_id': 136, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 78, 'opt_value': 'No', 'option_id': 2}]",,,,,,
78,NEW,Is the cough triggered by cold air or exercise?,"[{'next_q_id': 140, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 79, 'opt_value': 'No', 'option_id': 2}]",,,,,,
79,NEW,Does the elderly adult have a history of asthma or chronic bronchitis?,"[{'next_q_id': 136, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 80, 'opt_value': 'No', 'option_id': 2}]",,,,,,
80,NEW,Has the elderly adult been exposed to allergens recently?,"[{'next_q_id': 140, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 81, 'opt_value': 'No', 'option_id': 2}]",,,,,,
81,NEW,Does the elderly male have a hoarse voice with the cough?,"[{'next_q_id': 139, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 82, 'opt_value': 'No', 'option_id': 2}]",,,,,,
82,NEW,Does the elderly male experience wheezing while coughing?,"[{'next_q_id': 141, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 83, 'opt_value': 'No', 'option_id': 2}]",,,,,,
83,NEW,Does the elderly male have a family history of respiratory illnesses?,"[{'next_q_id': 136, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 137, 'opt_value': 'No', 'option_id': 2}]",,,,,,
136,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
137,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
138,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
139,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
140,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
141,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
1,NEW,What is your gender?,"[{'next_q_id': 2, 'opt_value': 'Male', 'option_id': 1}, {'next_q_id': 2, 'opt_value': 'Female', 'option_id': 2}]",,,,,,
2,NEW,What is your age category?,"[{'next_q_id': 72, 'opt_value': '0-2 years (Infant/Toddler)', 'option_id': 1}, {'next_q_id': 72, 'opt_value': '3-12 years (Child)', 'option_id': 2}, {'next_q_id': 72, 'opt_value': '13-18 years (Adolescent)', 'option_id': 3}, {'next_q_id': 72, 'opt_value': '19-40 years (Young Adult)', 'option_id': 4}, {'next_q_id': 72, 'opt_value': '41-65 years (Middle-aged Adult)', 'option_id': 5}, {'next_q_id': 72, 'opt_value': '66+ years (Senior)', 'option_id': 6}]",,,,,,
72,NEW,Does the elderly adult have a persistent cough lasting more than 3 weeks?,"[{'next_q_id': 73, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 136, 'opt_value': 'No', 'option_id': 2}]",,,,,,
73,NEW,Is the cough accompanied by blood in the mucus?,"[{'next_q_id': 137, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 74, 'opt_value': 'No', 'option_id': 2}]",,,,,,
74,NEW,Does the elderly adult have a fever along with the cough?,"[{'next_q_id': 138, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 75, 'opt_value': 'No', 'option_id': 2}]",,,,,,
75,NEW,Is the cough worse after lying down?,"[{'next_q_id': 139, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 76, 'opt_value': 'No', 'option_id': 2}]",,,,,,
76,NEW,Does the elderly adult have a history of smoking?,"[{'next_q_id': 137, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 77, 'opt_value': 'No', 'option_id': 2}]",,,,,,
77,NEW,Does the elderly adult experience shortness of breath with the cough?,"[{'next_q_id': 136, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 78, 'opt_value': 'No', 'option_id': 2}]",,,,,,
78,NEW,Is the cough triggered by cold air or exercise?,"[{'next_q_id': 136, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 79, 'opt_value': 'No', 'option_id': 2}]",,,,,,
79,NEW,Does the elderly adult have a history of asthma or chronic bronchitis?,"[{'next_q_id': 136, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 80, 'opt_value': 'No', 'option_id': 2}]",,,,,,
80,NEW,Has the elderly adult been exposed to allergens recently?,"[{'next_q_id': 140, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 136, 'opt_value': 'No', 'option_id': 2}]",,,,,,
84,NEW,Does the elderly female have a persistent dry cough?,"[{'next_q_id': 85, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 136, 'opt_value': 'No', 'option_id': 2}]",,,,,,
85,NEW,Does the elderly female experience fatigue along with the cough?,"[{'next_q_id': 138, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 86, 'opt_value': 'No', 'option_id': 2}]",,,,,,
86,NEW,Does the elderly female have a history of allergies?,"[{'next_q_id': 142, 'opt_value': 'Yes', 'option_id': 1}, {'next_q_id': 136, 'opt_value': 'No', 'option_id': 2}]",,,,,,
136,DIAGNOSIS,Diagnosis: Asthma,[],['Avoid triggers'],"{'description': 'Chronic inflammation of airways causing cough and wheezing.', 'diagnosis_title': 'Asthma'}",['Spirometry'],['Severe wheezing'],['Use prescribed inhalers'],"['None, inhalers required']"
137,DIAGNOSIS,Diagnosis: Bronchitis,[],['Stay hydrated'],"{'description': 'Inflammation of the bronchial tubes causing cough.', 'diagnosis_title': 'Bronchitis'}",['Chest X-ray'],['Persistent fever'],['Avoid smoking exposure'],['Cough suppressants']
138,DIAGNOSIS,Diagnosis: Flu (Influenza),[],['Rest and hydration'],"{'description': 'Viral infection causing fever, cough, and body aches.', 'diagnosis_title': 'Flu (Influenza)'}",['Rapid flu test'],['Severe fatigue'],['Annual flu vaccine'],['Acetaminophen']
139,DIAGNOSIS,Diagnosis: GERD,[],['Elevate head while sleeping'],"{'description': 'Acid reflux causing cough, especially at night.', 'diagnosis_title': 'GERD'}",['pH monitoring'],['Severe chest pain'],['Avoid spicy foods'],['Antacids']
140,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
142,DIAGNOSIS,Diagnosis: Allergic Rhinitis,[],['Avoid allergens'],"{'description': 'Allergy-induced nasal congestion and cough.', 'diagnosis_title': 'Allergic Rhinitis'}",['Allergy testing'],['Severe swelling'],['Use air purifiers'],['Antihistamines']
